mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.029015064239501953,4.76837158203125e-06,0.010486245155334473,0.0004976987838745117,1.0,rbf,"{'classifier__C': 1.0, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7640449438202247,0.7823033707865168,0.01825842696629215,1
0.018503785133361816,0.002500176429748535,0.003973245620727539,2.7179718017578125e-05,0.6,linear,"{'classifier__C': 0.6, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.017506122589111328,0.001497507095336914,0.0035011768341064453,0.0005002021789550781,0.4,linear,"{'classifier__C': 0.4, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.01851332187652588,0.0024961233139038086,0.004496335983276367,0.0004956722259521484,1.0,linear,"{'classifier__C': 1.0, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.03200030326843262,0.001997709274291992,0.010504722595214844,0.0015063285827636719,0.9,rbf,"{'classifier__C': 0.9, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7612359550561798,0.7808988764044944,0.0196629213483146,2
0.02049541473388672,0.0014913082122802734,0.003500699996948242,0.0005002021789550781,0.9,linear,"{'classifier__C': 0.9, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.02940964698791504,0.001615762710571289,0.00954592227935791,0.00044333934783935547,0.8,rbf,"{'classifier__C': 0.8, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7612359550561798,0.7808988764044944,0.0196629213483146,2
0.01950061321258545,0.002501845359802246,0.003995299339294434,0.0009948015213012695,0.8,linear,"{'classifier__C': 0.8, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.018038153648376465,3.516674041748047e-05,0.005001664161682129,0.0009943246841430664,0.30000000000000004,linear,"{'classifier__C': 0.30000000000000004, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.029009342193603516,1.6689300537109375e-06,0.010001778602600098,0.0009821653366088867,0.7000000000000001,rbf,"{'classifier__C': 0.7000000000000001, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7612359550561798,0.7808988764044944,0.0196629213483146,2
0.016503334045410156,0.0025005340576171875,0.003993630409240723,7.510185241699219e-06,0.7000000000000001,linear,"{'classifier__C': 0.7000000000000001, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.018526792526245117,0.002527952194213867,0.004023194313049316,0.0009664297103881836,0.5,linear,"{'classifier__C': 0.5, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.02052128314971924,0.0004788637161254883,0.0035071372985839844,0.0004940032958984375,0.1,linear,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,13
0.01799774169921875,0.0010106563568115234,0.00400698184967041,0.001006484031677246,0.2,linear,"{'classifier__C': 0.2, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,13
0.030083298683166504,0.0019451379776000977,0.009141087532043457,0.0008603334426879883,0.6,rbf,"{'classifier__C': 0.6, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7528089887640449,0.776685393258427,0.023876404494382053,15
0.03066086769104004,0.0013689994812011719,0.010626554489135742,0.0013637542724609375,0.5,rbf,"{'classifier__C': 0.5, 'classifier__kernel': 'rbf'}",0.7949438202247191,0.7528089887640449,0.773876404494382,0.021067415730337102,16
0.03200662136077881,0.0009957551956176758,0.01199495792388916,0.0010091066360473633,0.2,rbf,"{'classifier__C': 0.2, 'classifier__kernel': 'rbf'}",0.7921348314606742,0.7556179775280899,0.773876404494382,0.01825842696629215,16
0.03141129016876221,0.0022531747817993164,0.01105797290802002,0.001038670539855957,0.30000000000000004,rbf,"{'classifier__C': 0.30000000000000004, 'classifier__kernel': 'rbf'}",0.7921348314606742,0.7528089887640449,0.7724719101123596,0.019662921348314655,18
0.032563209533691406,0.0005512237548828125,0.011996984481811523,0.0010120868682861328,0.4,rbf,"{'classifier__C': 0.4, 'classifier__kernel': 'rbf'}",0.7949438202247191,0.7471910112359551,0.7710674157303371,0.023876404494381998,19
0.038504838943481445,0.002496957778930664,0.00700223445892334,0.0009900331497192383,0.30000000000000004,sigmoid,"{'classifier__C': 0.30000000000000004, 'classifier__kernel': 'sigmoid'}",0.7612359550561798,0.7471910112359551,0.7542134831460674,0.007022471910112349,20
0.036101460456848145,8.952617645263672e-05,0.012491106986999512,0.0004941225051879883,0.1,rbf,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf'}",0.7696629213483146,0.7359550561797753,0.752808988764045,0.01685393258426965,21
0.035512447357177734,0.0005085468292236328,0.007503986358642578,0.0004956722259521484,0.4,sigmoid,"{'classifier__C': 0.4, 'classifier__kernel': 'sigmoid'}",0.7612359550561798,0.7387640449438202,0.75,0.011235955056179803,22
0.03901064395904541,0.002004265785217285,0.007569313049316406,0.00042057037353515625,0.2,sigmoid,"{'classifier__C': 0.2, 'classifier__kernel': 'sigmoid'}",0.7556179775280899,0.7191011235955056,0.7373595505617978,0.01825842696629215,23
