mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.21675074100494385,0.0012978315353393555,0.012007832527160645,1.1801719665527344e-05,118,{'classifier__n_estimators': 118},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.2227306365966797,0.004283428192138672,0.012084603309631348,8.809566497802734e-05,117,{'classifier__n_estimators': 117},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.22374367713928223,0.009293317794799805,0.012522459030151367,0.0005142688751220703,119,{'classifier__n_estimators': 119},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.25121498107910156,0.0006000995635986328,0.013919711112976074,0.0010946989059448242,111,{'classifier__n_estimators': 111},0.8174157303370787,0.7921348314606742,0.8047752808988764,0.01264044943820225,4
0.22909259796142578,0.002257108688354492,0.01298534870147705,1.1920928955078125e-07,122,{'classifier__n_estimators': 122},0.8202247191011236,0.7893258426966292,0.8047752808988764,0.015449438202247201,4
0.15331828594207764,0.0007323026657104492,0.008494973182678223,0.0005022287368774414,135,{'classifier__n_estimators': 135},0.8174157303370787,0.7921348314606742,0.8047752808988764,0.01264044943820225,4
0.15903079509735107,0.0029886960983276367,0.00800788402557373,6.079673767089844e-06,140,{'classifier__n_estimators': 140},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.1590367555618286,0.0019937753677368164,0.008000016212463379,0.001000046730041504,136,{'classifier__n_estimators': 136},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.1656937599182129,0.006447792053222656,0.008955836296081543,5.1856040954589844e-05,138,{'classifier__n_estimators': 138},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.2518630027770996,0.012231826782226562,0.012580037117004395,0.0007756948471069336,113,{'classifier__n_estimators': 113},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.16305065155029297,0.001268625259399414,0.009786367416381836,0.0002567768096923828,139,{'classifier__n_estimators': 139},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.15597903728485107,0.0021666288375854492,0.009170770645141602,2.3603439331054688e-05,129,{'classifier__n_estimators': 129},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.15920615196228027,0.0009400844573974609,0.008000373840332031,9.5367431640625e-07,137,{'classifier__n_estimators': 137},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1500718593597412,0.005046367645263672,0.007498264312744141,0.0004973411560058594,134,{'classifier__n_estimators': 134},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.15854167938232422,0.006522417068481445,0.009087204933166504,8.547306060791016e-05,133,{'classifier__n_estimators': 133},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.15103411674499512,6.67572021484375e-06,0.007497668266296387,0.0004976987838745117,132,{'classifier__n_estimators': 132},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1521303653717041,0.0010886192321777344,0.008535146713256836,0.0015306472778320312,131,{'classifier__n_estimators': 131},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.25620412826538086,0.01005697250366211,0.01668524742126465,0.0035219192504882812,110,{'classifier__n_estimators': 110},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.17412734031677246,0.016205787658691406,0.008516311645507812,0.0006144046783447266,127,{'classifier__n_estimators': 127},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.17521679401397705,0.009056687355041504,0.008701086044311523,0.00029015541076660156,126,{'classifier__n_estimators': 126},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.22355282306671143,0.000496983528137207,0.01250302791595459,0.0004993677139282227,121,{'classifier__n_estimators': 121},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.21558594703674316,0.001338958740234375,0.01251065731048584,0.0004912614822387695,120,{'classifier__n_estimators': 120},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.24793899059295654,0.014583706855773926,0.012971162796020508,0.00036072731018066406,115,{'classifier__n_estimators': 115},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.2342088222503662,0.0006861686706542969,0.011865377426147461,0.0011944770812988281,114,{'classifier__n_estimators': 114},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.24847328662872314,0.010803818702697754,0.01369786262512207,0.0005278587341308594,112,{'classifier__n_estimators': 112},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1905423402786255,0.006501555442810059,0.010489821434020996,0.001504063606262207,124,{'classifier__n_estimators': 124},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.2292323112487793,0.015134334564208984,0.011507868766784668,0.0014890432357788086,123,{'classifier__n_estimators': 123},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.22909796237945557,0.006782174110412598,0.013027548789978027,0.0001195669174194336,116,{'classifier__n_estimators': 116},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.17454826831817627,0.0025080442428588867,0.009488463401794434,0.0005038976669311523,125,{'classifier__n_estimators': 125},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
