mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__gamma,param_classifier__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.04684269428253174,0.011835455894470215,0.005002021789550781,0.001001119613647461,0.01,190,"{'classifier__gamma': 0.01, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.027006030082702637,0.0010002851486206055,0.003500819206237793,0.0005003213882446289,0.1131578947368421,192,"{'classifier__gamma': 0.1131578947368421, 'classifier__n_estimators': 192}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.029006242752075195,4.76837158203125e-07,0.0035010576248168945,0.0005005598068237305,0.06157894736842105,206,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 206}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03050696849822998,0.0005000829696655273,0.0035010576248168945,0.0004998445510864258,0.06157894736842105,204,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 204}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.02650737762451172,0.0004994869232177734,0.003999829292297363,5.960464477539062e-07,0.2163157894736842,192,"{'classifier__gamma': 0.2163157894736842, 'classifier__n_estimators': 192}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.028505802154541016,0.0005009174346923828,0.004001498222351074,8.344650268554688e-07,0.06157894736842105,202,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 202}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03000640869140625,0.001001119613647461,0.0035015344619750977,0.0005005598068237305,0.2163157894736842,191,"{'classifier__gamma': 0.2163157894736842, 'classifier__n_estimators': 191}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.0290067195892334,2.384185791015625e-07,0.003000617027282715,1.1920928955078125e-07,0.2163157894736842,190,"{'classifier__gamma': 0.2163157894736842, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03100907802581787,1.5497207641601562e-06,0.003498673439025879,0.0005015134811401367,0.19052631578947368,210,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 210}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.02800571918487549,1.1920928955078125e-07,0.0040018558502197266,7.152557373046875e-07,0.19052631578947368,208,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 208}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.02852463722229004,0.0004832744598388672,0.004001021385192871,1.5497207641601562e-06,0.19052631578947368,206,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 206}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03000664710998535,0.0010001659393310547,0.003000974655151367,0.0,0.1131578947368421,202,"{'classifier__gamma': 0.1131578947368421, 'classifier__n_estimators': 202}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.029006123542785645,0.0009995698928833008,0.003500699996948242,0.0004999637603759766,0.1131578947368421,204,"{'classifier__gamma': 0.1131578947368421, 'classifier__n_estimators': 204}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.027505874633789062,0.0004994869232177734,0.0030003786087036133,1.1920928955078125e-07,0.06157894736842105,192,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 192}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.028508901596069336,0.0005002021789550781,0.003498554229736328,0.0004999637603759766,0.19052631578947368,204,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 204}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.026505351066589355,0.0005003213882446289,0.004003167152404785,3.5762786865234375e-07,0.06157894736842105,190,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03000771999359131,0.0020002126693725586,0.003999114036560059,8.344650268554688e-07,0.035789473684210524,210,"{'classifier__gamma': 0.035789473684210524, 'classifier__n_estimators': 210}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.02900409698486328,0.0010001659393310547,0.004003643989562988,3.5762786865234375e-07,0.06157894736842105,208,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 208}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.0290069580078125,2.384185791015625e-07,0.004001736640930176,0.0010014772415161133,0.06157894736842105,210,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 210}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.0290067195892334,0.0,0.003500699996948242,0.0005002021789550781,0.035789473684210524,208,"{'classifier__gamma': 0.035789473684210524, 'classifier__n_estimators': 208}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.027004718780517578,0.0009989738464355469,0.0035016536712646484,0.0005004405975341797,0.08736842105263157,190,"{'classifier__gamma': 0.08736842105263157, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
