mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.028516292572021484,0.0005035400390625,0.008498907089233398,0.0004968643188476562,1.0,rbf,"{'classifier__C': 1.0, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7640449438202247,0.7823033707865168,0.01825842696629215,1
0.01772177219390869,0.0017184019088745117,0.004006743431091309,6.079673767089844e-06,0.6,linear,"{'classifier__C': 0.6, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.017515063285827637,0.002513289451599121,0.0035009384155273438,0.0005004405975341797,0.4,linear,"{'classifier__C': 0.4, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.019104719161987305,0.0018820762634277344,0.003509044647216797,0.0005080699920654297,1.0,linear,"{'classifier__C': 1.0, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.02948629856109619,0.0018960237503051758,0.010113239288330078,0.0018913745880126953,0.9,rbf,"{'classifier__C': 0.9, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7612359550561798,0.7808988764044944,0.0196629213483146,2
0.017749786376953125,0.0027475357055664062,0.0036622285842895508,0.0003389120101928711,0.9,linear,"{'classifier__C': 0.9, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.028882861137390137,0.001568436622619629,0.009740471839904785,0.000741124153137207,0.8,rbf,"{'classifier__C': 0.8, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7612359550561798,0.7808988764044944,0.0196629213483146,2
0.01791083812713623,0.0018230676651000977,0.0039997100830078125,9.5367431640625e-07,0.8,linear,"{'classifier__C': 0.8, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.017008304595947266,0.0010018348693847656,0.0035032033920288086,0.0004960298538208008,0.30000000000000004,linear,"{'classifier__C': 0.30000000000000004, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.028798341751098633,0.0007295608520507812,0.00953054428100586,0.001508951187133789,0.7000000000000001,rbf,"{'classifier__C': 0.7000000000000001, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7612359550561798,0.7808988764044944,0.0196629213483146,2
0.02521347999572754,0.0012087821960449219,0.004673361778259277,0.0006595849990844727,0.7000000000000001,linear,"{'classifier__C': 0.7000000000000001, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.01999485492706299,0.0030101537704467773,0.003000617027282715,1.1920928955078125e-07,0.5,linear,"{'classifier__C': 0.5, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7668539325842697,0.7808988764044944,0.014044943820224698,2
0.019929170608520508,0.0006246566772460938,0.004005312919616699,4.172325134277344e-06,0.1,linear,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,13
0.019507288932800293,0.0035032033920288086,0.004007220268249512,6.556510925292969e-06,0.2,linear,"{'classifier__C': 0.2, 'classifier__kernel': 'linear'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,13
0.02804398536682129,0.0020439624786376953,0.009692668914794922,0.0002961158752441406,0.6,rbf,"{'classifier__C': 0.6, 'classifier__kernel': 'rbf'}",0.800561797752809,0.7528089887640449,0.776685393258427,0.023876404494382053,15
0.03151679039001465,0.0024907588958740234,0.008756756782531738,0.00024497509002685547,0.5,rbf,"{'classifier__C': 0.5, 'classifier__kernel': 'rbf'}",0.7949438202247191,0.7528089887640449,0.773876404494382,0.021067415730337102,16
0.03250563144683838,0.0004996061325073242,0.012009859085083008,0.0009930133819580078,0.2,rbf,"{'classifier__C': 0.2, 'classifier__kernel': 'rbf'}",0.7921348314606742,0.7556179775280899,0.773876404494382,0.01825842696629215,16
0.0299990177154541,0.001993894577026367,0.010002613067626953,0.0010006427764892578,0.30000000000000004,rbf,"{'classifier__C': 0.30000000000000004, 'classifier__kernel': 'rbf'}",0.7921348314606742,0.7528089887640449,0.7724719101123596,0.019662921348314655,18
0.02800595760345459,5.960464477539062e-07,0.009001731872558594,0.0010004043579101562,0.4,rbf,"{'classifier__C': 0.4, 'classifier__kernel': 'rbf'}",0.7949438202247191,0.7471910112359551,0.7710674157303371,0.023876404494381998,19
0.03545081615447998,0.0016289949417114258,0.006552457809448242,0.0005517005920410156,0.30000000000000004,sigmoid,"{'classifier__C': 0.30000000000000004, 'classifier__kernel': 'sigmoid'}",0.7612359550561798,0.7471910112359551,0.7542134831460674,0.007022471910112349,20
0.033490777015686035,0.0005029439926147461,0.011508703231811523,0.0005056858062744141,0.1,rbf,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf'}",0.7696629213483146,0.7359550561797753,0.752808988764045,0.01685393258426965,21
0.036707282066345215,0.00030100345611572266,0.006109356880187988,9.715557098388672e-05,0.4,sigmoid,"{'classifier__C': 0.4, 'classifier__kernel': 'sigmoid'}",0.7612359550561798,0.7387640449438202,0.75,0.011235955056179803,22
0.036025047302246094,0.0009706020355224609,0.008510589599609375,0.0015091896057128906,0.2,sigmoid,"{'classifier__C': 0.2, 'classifier__kernel': 'sigmoid'}",0.7556179775280899,0.7191011235955056,0.7373595505617978,0.01825842696629215,23
