mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__gamma,param_classifier__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.03370559215545654,0.0006974935531616211,0.003001093864440918,5.960464477539062e-07,0.01,190,"{'classifier__gamma': 0.01, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03300738334655762,7.152557373046875e-07,0.003500699996948242,0.0005002021789550781,0.1131578947368421,192,"{'classifier__gamma': 0.1131578947368421, 'classifier__n_estimators': 192}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.029006600379943848,1.3113021850585938e-06,0.004500746726989746,0.0005003213882446289,0.06157894736842105,206,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 206}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.02939009666442871,0.00038433074951171875,0.004002571105957031,1.1920928955078125e-06,0.06157894736842105,204,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 204}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03050684928894043,0.0004994869232177734,0.003500819206237793,0.0004991292953491211,0.2163157894736842,192,"{'classifier__gamma': 0.2163157894736842, 'classifier__n_estimators': 192}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.02850520610809326,0.0004998445510864258,0.004002213478088379,3.5762786865234375e-07,0.06157894736842105,202,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 202}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.030727386474609375,0.0007233619689941406,0.004001498222351074,3.5762786865234375e-07,0.2163157894736842,191,"{'classifier__gamma': 0.2163157894736842, 'classifier__n_estimators': 191}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.027112722396850586,0.0001068115234375,0.0040024518966674805,1.7881393432617188e-06,0.2163157894736842,190,"{'classifier__gamma': 0.2163157894736842, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03702056407928467,0.006013751029968262,0.0035009384155273438,0.000499725341796875,0.19052631578947368,210,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 210}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03050673007965088,0.0015007257461547852,0.004500627517700195,0.0004994869232177734,0.19052631578947368,208,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 208}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.05695605278015137,0.02395033836364746,0.0035009384155273438,0.0004999637603759766,0.19052631578947368,206,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 206}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03750717639923096,0.0004991292953491211,0.004002928733825684,2.0265579223632812e-06,0.1131578947368421,202,"{'classifier__gamma': 0.1131578947368421, 'classifier__n_estimators': 202}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.034894347190856934,0.00011336803436279297,0.004001259803771973,5.960464477539062e-07,0.1131578947368421,204,"{'classifier__gamma': 0.1131578947368421, 'classifier__n_estimators': 204}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03400552272796631,5.960464477539062e-07,0.004001498222351074,8.344650268554688e-07,0.06157894736842105,192,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 192}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03450775146484375,0.0025000572204589844,0.004500389099121094,0.0005002021789550781,0.19052631578947368,204,"{'classifier__gamma': 0.19052631578947368, 'classifier__n_estimators': 204}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.033505797386169434,0.0004981756210327148,0.004501819610595703,0.0004994869232177734,0.06157894736842105,190,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.033257484436035156,0.0012514591217041016,0.004000186920166016,4.76837158203125e-07,0.035789473684210524,210,"{'classifier__gamma': 0.035789473684210524, 'classifier__n_estimators': 210}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03462660312652588,0.0016189813613891602,0.004002094268798828,1.6689300537109375e-06,0.06157894736842105,208,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 208}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03450727462768555,0.0005009174346923828,0.0035005807876586914,0.0005000829696655273,0.06157894736842105,210,"{'classifier__gamma': 0.06157894736842105, 'classifier__n_estimators': 210}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03750598430633545,0.0005003213882446289,0.004502773284912109,0.0005006790161132812,0.035789473684210524,208,"{'classifier__gamma': 0.035789473684210524, 'classifier__n_estimators': 208}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
0.03700864315032959,0.001000046730041504,0.00400090217590332,4.76837158203125e-07,0.08736842105263157,190,"{'classifier__gamma': 0.08736842105263157, 'classifier__n_estimators': 190}",0.8230337078651685,0.7584269662921348,0.7907303370786516,0.03230337078651685,1
