mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.0047397613525390625,0.0004489421844482422,0.0024216175079345703,0.0002465248107910156,10.0,l1,"{'classifier__C': 10.0, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7752808988764045,0.7851123595505618,0.0098314606741573,1
0.0057708024978637695,0.000735163688659668,0.003093719482421875,2.3126602172851562e-05,8.9,l1,"{'classifier__C': 8.9, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7752808988764045,0.7851123595505618,0.0098314606741573,1
0.00532221794128418,0.0009808540344238281,0.0019991397857666016,9.5367431640625e-07,2.3000000000000003,l2,"{'classifier__C': 2.3000000000000003, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7752808988764045,0.7851123595505618,0.0098314606741573,1
0.005697727203369141,0.0014600753784179688,0.003014683723449707,3.933906555175781e-06,5.6,l1,"{'classifier__C': 5.6, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.004651546478271484,0.0006170272827148438,0.0021158456802368164,0.0001150369644165039,5.6,l2,"{'classifier__C': 5.6, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.005073070526123047,5.054473876953125e-05,0.0021115541458129883,0.00011146068572998047,8.9,l2,"{'classifier__C': 8.9, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.004561781883239746,0.00046837329864501953,0.002727985382080078,0.00040268898010253906,7.800000000000001,l2,"{'classifier__C': 7.800000000000001, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.005230307579040527,0.0002313852310180664,0.0025521516799926758,0.0005499124526977539,7.800000000000001,l1,"{'classifier__C': 7.800000000000001, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.004767179489135742,0.0007269382476806641,0.0025304555892944336,0.00047004222869873047,6.7,l2,"{'classifier__C': 6.7, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.005187392234802246,0.0001875162124633789,0.0020716190338134766,7.05718994140625e-05,6.7,l1,"{'classifier__C': 6.7, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.004717588424682617,0.000514984130859375,0.0022929906845092773,0.00025022029876708984,10.0,l2,"{'classifier__C': 10.0, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.005023002624511719,0.0009872913360595703,0.0021615028381347656,5.0067901611328125e-05,4.5,l2,"{'classifier__C': 4.5, 'classifier__penalty': 'l2'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.006717562675476074,0.0007063150405883789,0.0025682449340820312,0.0005676746368408203,4.5,l1,"{'classifier__C': 4.5, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.003537416458129883,0.0004932880401611328,0.0032655000686645508,0.0008643865585327148,3.4000000000000004,l2,"{'classifier__C': 3.4000000000000004, 'classifier__penalty': 'l2'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.005695223808288574,0.0013355016708374023,0.0030094385147094727,9.417533874511719e-06,3.4000000000000004,l1,"{'classifier__C': 3.4000000000000004, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.005241870880126953,0.0007634162902832031,0.004548907279968262,0.002453923225402832,1.2000000000000002,l2,"{'classifier__C': 1.2000000000000002, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7696629213483146,0.7823033707865168,0.01264044943820225,16
0.005630612373352051,0.0003846883773803711,0.004704833030700684,0.0012983083724975586,1.2000000000000002,l1,"{'classifier__C': 1.2000000000000002, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7696629213483146,0.7823033707865168,0.01264044943820225,16
0.005694866180419922,0.0003063678741455078,0.003713250160217285,0.0003789663314819336,2.3000000000000003,l1,"{'classifier__C': 2.3000000000000003, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7696629213483146,0.7808988764044944,0.011235955056179803,18
0.005000591278076172,0.0009984970092773438,0.0035009384155273438,0.0004999637603759766,0.1,l2,"{'classifier__C': 0.1, 'classifier__penalty': 'l2'}",0.7893258426966292,0.7668539325842697,0.7780898876404494,0.011235955056179747,19
0.004500150680541992,0.0005002021789550781,0.0030013322830200195,2.9802322387695312e-06,0.1,l1,"{'classifier__C': 0.1, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7528089887640449,0.773876404494382,0.021067415730337102,20
