mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.13473987579345703,0.0010652542114257812,0.007504940032958984,0.0005035400390625,118,{'classifier__n_estimators': 118},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.13326632976531982,0.0030432939529418945,0.008050799369812012,0.0010486841201782227,117,{'classifier__n_estimators': 117},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.14015412330627441,0.005414009094238281,0.008087158203125,0.0009875297546386719,119,{'classifier__n_estimators': 119},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.3333547115325928,0.11846756935119629,0.013108968734741211,9.131431579589844e-05,111,{'classifier__n_estimators': 111},0.8174157303370787,0.7921348314606742,0.8047752808988764,0.01264044943820225,4
0.1423506736755371,3.8623809814453125e-05,0.007839679718017578,0.0006382465362548828,122,{'classifier__n_estimators': 122},0.8202247191011236,0.7893258426966292,0.8047752808988764,0.015449438202247201,4
0.1556224822998047,0.002835988998413086,0.009024381637573242,0.0009641647338867188,135,{'classifier__n_estimators': 135},0.8174157303370787,0.7921348314606742,0.8047752808988764,0.01264044943820225,4
0.1564159393310547,0.0010695457458496094,0.007757306098937988,0.0002480745315551758,140,{'classifier__n_estimators': 140},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.15278387069702148,0.002640962600708008,0.008504629135131836,0.0004961490631103516,136,{'classifier__n_estimators': 136},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.1600031852722168,0.010554790496826172,0.008527517318725586,0.0005269050598144531,138,{'classifier__n_estimators': 138},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.2109009027481079,0.0030707120895385742,0.01310276985168457,0.0010983943939208984,113,{'classifier__n_estimators': 113},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.15427923202514648,0.003180265426635742,0.008995413780212402,0.000992894172668457,139,{'classifier__n_estimators': 139},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.1520528793334961,0.0020117759704589844,0.007546067237854004,0.0005451440811157227,129,{'classifier__n_estimators': 129},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1585559844970703,0.0025386810302734375,0.009897947311401367,0.00109100341796875,137,{'classifier__n_estimators': 137},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.17011511325836182,0.007112860679626465,0.008423209190368652,0.0002726316452026367,134,{'classifier__n_estimators': 134},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1511470079421997,0.004115700721740723,0.008002161979675293,8.344650268554688e-07,133,{'classifier__n_estimators': 133},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.16522610187530518,0.008235573768615723,0.007571101188659668,0.0005737543106079102,132,{'classifier__n_estimators': 132},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.16504228115081787,0.01763784885406494,0.008096694946289062,1.7642974853515625e-05,131,{'classifier__n_estimators': 131},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.21077775955200195,0.006612062454223633,0.01206827163696289,0.0009584426879882812,110,{'classifier__n_estimators': 110},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.14532160758972168,0.0007314682006835938,0.008005261421203613,0.0010045766830444336,127,{'classifier__n_estimators': 127},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.14702606201171875,0.005179405212402344,0.007947444915771484,0.00018668174743652344,126,{'classifier__n_estimators': 126},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.14173364639282227,0.0011878013610839844,0.008230209350585938,0.0011448860168457031,121,{'classifier__n_estimators': 121},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.13903701305389404,0.0005744695663452148,0.008722782135009766,0.00033092498779296875,120,{'classifier__n_estimators': 120},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.17534363269805908,0.007118821144104004,0.009461760520935059,0.00046002864837646484,115,{'classifier__n_estimators': 115},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1906834840774536,0.012892365455627441,0.011674880981445312,0.0006585121154785156,114,{'classifier__n_estimators': 114},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.21284961700439453,0.0035026073455810547,0.012510538101196289,5.626678466796875e-05,112,{'classifier__n_estimators': 112},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1637275218963623,0.021380901336669922,0.01164257526397705,0.0036543607711791992,124,{'classifier__n_estimators': 124},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.1418004035949707,0.0010082721710205078,0.008090734481811523,9.012222290039062e-05,123,{'classifier__n_estimators': 123},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.1430734395980835,0.004777312278747559,0.00869894027709961,0.0002837181091308594,116,{'classifier__n_estimators': 116},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.17004799842834473,0.004472970962524414,0.007491707801818848,0.0003949403762817383,125,{'classifier__n_estimators': 125},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
